season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2009,Rugby Championship / Tri Nations,2009-09-12,New Zealand,South Africa,29,32,FMG Stadium Waikato,25837
2009,Rugby Championship / Tri Nations,2009-09-19,New Zealand,Australia,33,6,Sky Stadium,25838
2009-10,Six Nations,2010-02-06,Ireland,Italy,29,11,Croke Park,94943
2009-10,Six Nations,2010-02-06,England,Wales,30,17,Allianz Stadium,94944
2009-10,Six Nations,2010-02-07,Scotland,France,9,18,Scottish Gas Murrayfield,94945
2009-10,Six Nations,2010-02-13,Wales,Scotland,31,24,Principality Stadium,94946
2009-10,Six Nations,2010-02-13,France,Ireland,33,10,Stade de France,94947
2009-10,Six Nations,2010-02-14,Italy,England,12,17,Stadio Flaminio,94948
2009-10,Six Nations,2010-02-26,Wales,France,20,26,Principality Stadium,94949
2009-10,Six Nations,2010-02-27,Italy,Scotland,16,12,Stadio Flaminio,94950
2009-10,Six Nations,2010-02-27,England,Ireland,16,20,Allianz Stadium,94951
2009-10,Six Nations,2010-03-13,Ireland,Wales,27,12,Croke Park,94952
2009-10,Six Nations,2010-03-13,Scotland,England,15,15,Scottish Gas Murrayfield,94953
2009-10,Six Nations,2010-03-14,France,Italy,46,20,Stade de France,94954
2009-10,Six Nations,2010-03-20,Wales,Italy,33,10,Principality Stadium,94955
2009-10,Six Nations,2010-03-20,Ireland,Scotland,20,23,Croke Park,94956
2009-10,Six Nations,2010-03-20,France,England,12,10,Stade de France,94957
2010,Rugby Championship / Tri Nations,2010-07-10,New Zealand,South Africa,32,12,Eden Park,103846
2010,Rugby Championship / Tri Nations,2010-07-17,New Zealand,South Africa,31,17,Sky Stadium,103847
2010,Rugby Championship / Tri Nations,2010-07-24,Australia,South Africa,30,13,Suncorp Stadium,103848
2010,Rugby Championship / Tri Nations,2010-07-31,Australia,New Zealand,28,49,Marvel Stadium,103849
2010,Rugby Championship / Tri Nations,2010-08-07,New Zealand,Australia,20,10,Jade Stadium (Lancaster Park),103850
2010,Rugby Championship / Tri Nations,2010-08-21,South Africa,New Zealand,22,29,FNB Stadium,103851
2010,Rugby Championship / Tri Nations,2010-08-28,South Africa,Australia,44,31,Loftus Versfeld,103852
2010,Rugby Championship / Tri Nations,2010-09-04,South Africa,Australia,39,41,Toyota Stadium,103853
2010,Rugby Championship / Tri Nations,2010-09-11,Australia,New Zealand,22,23,Accor Stadium,103854
2010-11,Six Nations,2011-02-04,Wales,England,19,26,Principality Stadium,114117
2010-11,Six Nations,2011-02-05,Italy,Ireland,11,13,Stadio Flaminio,114118
2010-11,Six Nations,2011-02-05,France,Scotland,34,21,Stade de France,114119
2010-11,Six Nations,2011-02-12,England,Italy,59,13,Allianz Stadium,114120
2010-11,Six Nations,2011-02-12,Scotland,Wales,6,24,Scottish Gas Murrayfield,114121
2010-11,Six Nations,2011-02-13,Ireland,France,22,25,Aviva Stadium,114122
2010-11,Six Nations,2011-02-26,Italy,Wales,16,24,Stadio Flaminio,114123
2010-11,Six Nations,2011-02-26,England,France,17,9,Allianz Stadium,114124
2010-11,Six Nations,2011-02-27,Scotland,Ireland,18,21,Scottish Gas Murrayfield,114125
2010-11,Six Nations,2011-03-12,Italy,France,22,21,Stadio Flaminio,114126
2010-11,Six Nations,2011-03-12,Wales,Ireland,19,13,Principality Stadium,114127
2010-11,Six Nations,2011-03-13,England,Scotland,22,16,Allianz Stadium,114128
2010-11,Six Nations,2011-03-19,Scotland,Italy,21,8,Scottish Gas Murrayfield,114129
2010-11,Six Nations,2011-03-19,Ireland,England,24,8,Aviva Stadium,114130
2010-11,Six Nations,2011-03-19,France,Wales,28,9,Stade de France,114131
2011,Rugby Championship / Tri Nations,2011-07-23,Australia,South Africa,39,20,Accor Stadium,121711
2011,Rugby Championship / Tri Nations,2011-07-30,New Zealand,South Africa,40,7,Sky Stadium,121712
2011,Rugby Championship / Tri Nations,2011-08-06,New Zealand,Australia,30,14,Eden Park,121713
2011,Rugby Championship / Tri Nations,2011-08-13,South Africa,Australia,9,14,Hollywoodbets Kings Park,121714
2011,Rugby Championship / Tri Nations,2011-08-20,South Africa,New Zealand,18,5,Nelson Mandela Bay Stadium,121715
2011,Rugby Championship / Tri Nations,2011-08-27,Australia,New Zealand,25,20,Suncorp Stadium,121716
2011,Rugby World Cup,2011-09-09,New Zealand,Tonga,41,10,Eden Park,93458
2011,Rugby World Cup,2011-09-10,Scotland,Romania,34,24,Invercargill Rugby Park,93459
2011,Rugby World Cup,2011-09-10,Fiji,Namibia,49,25,Rotorua International Stadium,93460
2011,Rugby World Cup,2011-09-10,France,Japan,47,21,North Harbour Stadium,93461
2011,Rugby World Cup,2011-09-10,England,Argentina,13,9,Forsyth Barr Stadium,93462
2011,Rugby World Cup,2011-09-11,Australia,Italy,32,6,North Harbour Stadium,93463
2011,Rugby World Cup,2011-09-11,Ireland,United States of America,22,10,Stadium Taranaki,93464
2011,Rugby World Cup,2011-09-11,Wales,South Africa,16,17,Sky Stadium,93465
2011,Rugby World Cup,2011-09-14,Samoa,Namibia,49,12,Rotorua International Stadium,93466
2011,Rugby World Cup,2011-09-14,Tonga,Canada,20,25,Semenoff Stadium,93467
2011,Rugby World Cup,2011-09-14,Scotland,Georgia,15,6,Invercargill Rugby Park,93468
2011,Rugby World Cup,2011-09-15,United States of America,Russia,13,6,Stadium Taranaki,93469
2011,Rugby World Cup,2011-09-16,New Zealand,Japan,83,7,FMG Stadium Waikato,93470
2011,Rugby World Cup,2011-09-17,Argentina,Romania,43,8,Invercargill Rugby Park,93471
2011,Rugby World Cup,2011-09-17,South Africa,Fiji,49,3,Sky Stadium,93472
2011,Rugby World Cup,2011-09-17,Ireland,Australia,15,6,Eden Park,93473
2011,Rugby World Cup,2011-09-18,Wales,Samoa,17,10,FMG Stadium Waikato,93474
2011,Rugby World Cup,2011-09-18,England,Georgia,41,10,Forsyth Barr Stadium,93475
2011,Rugby World Cup,2011-09-18,France,Canada,46,19,McLean Park,93476
2011,Rugby World Cup,2011-09-20,Italy,Russia,53,17,Trafalgar Park,93477
2011,Rugby World Cup,2011-09-21,Tonga,Japan,31,18,Semenoff Stadium,93478
2011,Rugby World Cup,2011-09-22,South Africa,Namibia,87,0,North Harbour Stadium,93479
2011,Rugby World Cup,2011-09-23,Australia,United States of America,67,5,Sky Stadium,93480
2011,Rugby World Cup,2011-09-24,England,Romania,67,3,Forsyth Barr Stadium,93481
2011,Rugby World Cup,2011-09-24,New Zealand,France,37,17,Eden Park,93482
2011,Rugby World Cup,2011-09-25,Fiji,Samoa,7,27,Eden Park,93483
2011,Rugby World Cup,2011-09-25,Ireland,Russia,62,12,Rotorua International Stadium,93484
2011,Rugby World Cup,2011-09-25,Scotland,Argentina,12,13,Sky Stadium,93485
2011,Rugby World Cup,2011-09-26,Wales,Namibia,81,7,Stadium Taranaki,93486
2011,Rugby World Cup,2011-09-27,Japan,Canada,23,23,McLean Park,93487
2011,Rugby World Cup,2011-09-27,United States of America,Italy,10,27,Trafalgar Park,93488
2011,Rugby World Cup,2011-09-28,Romania,Georgia,9,25,Central Energy Trust Arena,93489
2011,Rugby World Cup,2011-09-30,South Africa,Samoa,13,5,North Harbour Stadium,93490
2011,Rugby World Cup,2011-10-01,Australia,Russia,68,22,Trafalgar Park,93491
2011,Rugby World Cup,2011-10-01,France,Tonga,14,19,Sky Stadium,93492
2011,Rugby World Cup,2011-10-01,England,Scotland,16,12,Eden Park,93493
2011,Rugby World Cup,2011-10-02,Argentina,Georgia,25,7,Central Energy Trust Arena,93494
2011,Rugby World Cup,2011-10-02,New Zealand,Canada,79,15,Sky Stadium,93495
2011,Rugby World Cup,2011-10-02,Wales,Fiji,66,0,FMG Stadium Waikato,93496
2011,Rugby World Cup,2011-10-02,Ireland,Italy,36,6,Forsyth Barr Stadium,93497
2011,Rugby World Cup,2011-10-08,Ireland,Wales,10,22,Sky Stadium,93498
2011,Rugby World Cup,2011-10-08,England,France,12,19,Eden Park,93499
2011,Rugby World Cup,2011-10-09,South Africa,Australia,9,11,Sky Stadium,93500
2011,Rugby World Cup,2011-10-09,New Zealand,Argentina,33,10,Eden Park,93501
2011,Rugby World Cup,2011-10-15,Wales,France,8,9,Eden Park,93502
2011,Rugby World Cup,2011-10-16,New Zealand,Australia,20,6,Eden Park,93503
2011,Rugby World Cup,2011-10-21,Wales,Australia,18,21,Eden Park,93504
2011,Rugby World Cup,2011-10-23,New Zealand,France,8,7,Eden Park,93505
2011-12,Six Nations,2012-02-04,France,Italy,30,12,Stade de France,133767
2011-12,Six Nations,2012-02-04,Scotland,England,6,13,Scottish Gas Murrayfield,133768
2011-12,Six Nations,2012-02-05,Ireland,Wales,21,23,Aviva Stadium,133769
2011-12,Six Nations,2012-02-11,Italy,England,15,19,Stadio Olimpico,133770
2011-12,Six Nations,2012-02-12,Wales,Scotland,27,13,Principality Stadium,133772
2011-12,Six Nations,2012-02-25,Ireland,Italy,42,10,Aviva Stadium,133773
2011-12,Six Nations,2012-02-25,England,Wales,12,19,Allianz Stadium,133774
2011-12,Six Nations,2012-02-26,Scotland,France,17,23,Scottish Gas Murrayfield,133775
2011-12,Six Nations,2012-03-04,France,Ireland,17,17,Stade de France,133771
2011-12,Six Nations,2012-03-10,Wales,Italy,24,3,Principality Stadium,133776
2011-12,Six Nations,2012-03-10,Ireland,Scotland,32,14,Aviva Stadium,133777
2011-12,Six Nations,2012-03-11,France,England,22,24,Stade de France,133778
2011-12,Six Nations,2012-03-17,Italy,Scotland,13,6,Stadio Olimpico,133779
2011-12,Six Nations,2012-03-17,Wales,France,16,9,Principality Stadium,133780
2011-12,Six Nations,2012-03-17,England,Ireland,30,9,Allianz Stadium,133781
2012,Rugby Championship / Tri Nations,2012-08-18,Australia,New Zealand,19,27,Accor Stadium,153845
2012,Rugby Championship / Tri Nations,2012-08-18,South Africa,Argentina,27,6,DHL Newlands,153846
2012,Rugby Championship / Tri Nations,2012-08-25,New Zealand,Australia,22,0,Eden Park,153847
2012,Rugby Championship / Tri Nations,2012-08-25,Argentina,South Africa,16,16,Estadio Malvinas Argentinas,153848
2012,Rugby Championship / Tri Nations,2012-09-08,New Zealand,Argentina,21,5,Sky Stadium,153850
2012,Rugby Championship / Tri Nations,2012-09-08,Australia,South Africa,26,19,Patersons Stadium,153849
2012,Rugby Championship / Tri Nations,2012-09-15,New Zealand,South Africa,21,11,Forsyth Barr Stadium,153852
2012,Rugby Championship / Tri Nations,2012-09-15,Australia,Argentina,23,19,Cbus Super Stadium,153851
2012,Rugby Championship / Tri Nations,2012-09-29,South Africa,Australia,31,8,Loftus Versfeld,153853
2012,Rugby Championship / Tri Nations,2012-09-29,Argentina,New Zealand,15,54,Estadio Ciudad de La Plata,153854
2012,Rugby Championship / Tri Nations,2012-10-06,South Africa,New Zealand,16,32,FNB Stadium,153855
2012,Rugby Championship / Tri Nations,2012-10-06,Argentina,Australia,19,25,Estadio Gigante de Arroyito,153856
2012-13,Six Nations,2013-02-02,Wales,Ireland,22,30,Principality Stadium,133782
2012-13,Six Nations,2013-02-02,England,Scotland,38,18,Allianz Stadium,133783
2012-13,Six Nations,2013-02-03,Italy,France,23,18,Stadio Olimpico,133784
2012-13,Six Nations,2013-02-09,Scotland,Italy,34,10,Scottish Gas Murrayfield,133785
2012-13,Six Nations,2013-02-09,France,Wales,6,16,Stade de France,133786
2012-13,Six Nations,2013-02-10,Ireland,England,6,12,Aviva Stadium,133787
2012-13,Six Nations,2013-02-23,Italy,Wales,9,26,Stadio Olimpico,133788
2012-13,Six Nations,2013-02-23,England,France,23,13,Allianz Stadium,133789
2012-13,Six Nations,2013-02-24,Scotland,Ireland,12,8,Scottish Gas Murrayfield,133790
2012-13,Six Nations,2013-03-09,Scotland,Wales,28,28,Scottish Gas Murrayfield,133791
2012-13,Six Nations,2013-03-09,Ireland,France,13,13,Aviva Stadium,133792
2012-13,Six Nations,2013-03-10,England,Italy,18,11,Allianz Stadium,133793
2012-13,Six Nations,2013-03-16,Italy,Ireland,22,15,Stadio Olimpico,133794
2012-13,Six Nations,2013-03-16,Wales,England,30,3,Principality Stadium,133795
2012-13,Six Nations,2013-03-16,France,Scotland,23,16,Stade de France,133796
2013,Rugby Championship / Tri Nations,2013-08-17,Australia,New Zealand,29,47,Accor Stadium,174678
2013,Rugby Championship / Tri Nations,2013-08-17,South Africa,Argentina,73,13,FNB Stadium,175507
2013,Rugby Championship / Tri Nations,2013-08-24,New Zealand,Australia,27,16,Sky Stadium,172099
2013,Rugby Championship / Tri Nations,2013-08-24,Argentina,South Africa,17,22,Estadio Malvinas Argentinas,175508
2013,Rugby Championship / Tri Nations,2013-09-07,New Zealand,Argentina,28,13,FMG Stadium Waikato,172100
2013,Rugby Championship / Tri Nations,2013-09-07,Australia,South Africa,12,38,Suncorp Stadium,175509
2013,Rugby Championship / Tri Nations,2013-09-14,New Zealand,South Africa,29,15,Eden Park,172101
2013,Rugby Championship / Tri Nations,2013-09-14,Australia,Argentina,14,13,Patersons Stadium,175510
2013,Rugby Championship / Tri Nations,2013-09-28,South Africa,Australia,28,8,DHL Newlands,175511
2013,Rugby Championship / Tri Nations,2013-09-28,Argentina,New Zealand,15,33,Estadio Ciudad de La Plata,174679
2013,Rugby Championship / Tri Nations,2013-10-05,South Africa,New Zealand,27,38,Ellis Park,174680
2013,Rugby Championship / Tri Nations,2013-10-05,Argentina,Australia,17,54,Estadio Gigante de Arroyito,175512
2013-14,Six Nations,2014-02-01,Wales,Italy,23,15,Principality Stadium,180664
2013-14,Six Nations,2014-02-01,France,England,26,24,Stade de France,180665
2013-14,Six Nations,2014-02-02,Ireland,Scotland,28,6,Aviva Stadium,180666
2013-14,Six Nations,2014-02-08,Ireland,Wales,26,3,Aviva Stadium,180667
2013-14,Six Nations,2014-02-08,Scotland,England,0,20,Scottish Gas Murrayfield,180668
2013-14,Six Nations,2014-02-09,France,Italy,30,10,Stade de France,180669
2013-14,Six Nations,2014-02-21,Wales,France,27,6,Principality Stadium,180670
2013-14,Six Nations,2014-02-22,Italy,Scotland,20,21,Stadio Olimpico,180671
2013-14,Six Nations,2014-02-22,England,Ireland,13,10,Allianz Stadium,180672
2013-14,Six Nations,2014-03-08,Ireland,Italy,46,7,Aviva Stadium,180673
2013-14,Six Nations,2014-03-08,Scotland,France,17,19,Scottish Gas Murrayfield,180674
2013-14,Six Nations,2014-03-09,England,Wales,29,18,Allianz Stadium,180675
2013-14,Six Nations,2014-03-15,Italy,England,11,52,Stadio Olimpico,180676
2013-14,Six Nations,2014-03-15,Wales,Scotland,51,3,Principality Stadium,180677
2013-14,Six Nations,2014-03-15,France,Ireland,20,22,Stade de France,180678
2014,Rugby Championship / Tri Nations,2014-08-16,Australia,New Zealand,12,12,Accor Stadium,207955
2014,Rugby Championship / Tri Nations,2014-08-16,South Africa,Argentina,13,6,Loftus Versfeld,207957
2014,Rugby Championship / Tri Nations,2014-08-23,New Zealand,Australia,51,20,Eden Park,207959
2014,Rugby Championship / Tri Nations,2014-08-23,Argentina,South Africa,31,33,Padre Ernesto Martearena,207961
2014,Rugby Championship / Tri Nations,2014-09-06,New Zealand,Argentina,28,9,McLean Park,207965
2014,Rugby Championship / Tri Nations,2014-09-06,Australia,South Africa,24,23,Patersons Stadium,207963
2014,Rugby Championship / Tri Nations,2014-09-13,New Zealand,South Africa,14,10,Sky Stadium,207969
2014,Rugby Championship / Tri Nations,2014-09-13,Australia,Argentina,32,25,Cbus Super Stadium,207967
2014,Rugby Championship / Tri Nations,2014-09-27,South Africa,Australia,28,10,DHL Newlands,207971
2014,Rugby Championship / Tri Nations,2014-09-27,Argentina,New Zealand,13,34,Estadio Ciudad de La Plata,207973
2014,Rugby Championship / Tri Nations,2014-10-04,South Africa,New Zealand,27,25,Ellis Park,207975
2014,Rugby Championship / Tri Nations,2014-10-04,Argentina,Australia,21,17,Estadio Malvinas Argentinas,207977
2014-15,Six Nations,2015-02-06,Wales,England,16,21,Principality Stadium,180679
2014-15,Six Nations,2015-02-07,Italy,Ireland,3,26,Stadio Olimpico,180680
2014-15,Six Nations,2015-02-07,France,Scotland,15,8,Stade de France,180681
2014-15,Six Nations,2015-02-14,England,Italy,47,17,Allianz Stadium,180682
2014-15,Six Nations,2015-02-14,Ireland,France,18,11,Aviva Stadium,180683
2014-15,Six Nations,2015-02-15,Scotland,Wales,23,26,Scottish Gas Murrayfield,180684
2014-15,Six Nations,2015-02-28,Scotland,Italy,19,22,Scottish Gas Murrayfield,180685
2014-15,Six Nations,2015-02-28,France,Wales,13,20,Stade de France,180686
2014-15,Six Nations,2015-03-01,Ireland,England,19,9,Aviva Stadium,180687
2014-15,Six Nations,2015-03-14,Wales,Ireland,23,16,Principality Stadium,180688
2014-15,Six Nations,2015-03-14,England,Scotland,25,13,Allianz Stadium,180689
2014-15,Six Nations,2015-03-15,Italy,France,0,29,Stadio Olimpico,180690
2014-15,Six Nations,2015-03-21,Italy,Wales,20,61,Stadio Olimpico,180691
2014-15,Six Nations,2015-03-21,Scotland,Ireland,10,40,Scottish Gas Murrayfield,180692
2014-15,Six Nations,2015-03-21,England,France,55,35,Allianz Stadium,180693
2015,International Test Match,2015-07-08,Samoa,New Zealand,16,25,Apia Park,600546
2015,International Test Match,2015-07-11,Namibia,Russia,39,19,Hage Geingob Stadium,600547
2015,Rugby Championship / Tri Nations,2015-07-17,New Zealand,Argentina,39,18,Jade Stadium (Lancaster Park),244305
2015,Rugby Championship / Tri Nations,2015-07-18,Australia,South Africa,24,20,Suncorp Stadium,244307
2015,International Test Match,2015-07-18,Namibia,Russia,45,5,Hage Geingob Stadium,600548
2015,Rugby Championship / Tri Nations,2015-07-25,South Africa,New Zealand,20,27,Ellis Park,244309
2015,Rugby Championship / Tri Nations,2015-07-25,Argentina,Australia,9,34,Estadio Malvinas Argentinas,244311
2015,Rugby Championship / Tri Nations,2015-08-08,Australia,New Zealand,27,19,Accor Stadium,244313
2015,Rugby Championship / Tri Nations,2015-08-08,South Africa,Argentina,25,37,Hollywoodbets Kings Park,244315
2015,International Test Match,2015-08-08,Wales,Ireland,21,35,Principality Stadium,600549
2015,International Test Match,2015-08-15,New Zealand,Australia,41,13,Eden Park,600550
2015,International Test Match,2015-08-15,Ireland,Scotland,28,22,Aviva Stadium,600551
2015,International Test Match,2015-08-15,England,France,19,14,Allianz Stadium,600552
2015,International Test Match,2015-08-15,Argentina,South Africa,12,26,Estadio José Amalfitani,600553
2015,International Test Match,2015-08-22,Japan,Uruguay,30,8,Best Denki Stadium,600554
2015,International Test Match,2015-08-22,Italy,Scotland,12,16,Stadio Olimpico di Torino,600555
2015,International Test Match,2015-08-22,France,England,25,20,Stade de France,600556
2015,International Test Match,2015-08-22,Canada,United States of America,23,41,"Twin Elm Park, Winnipeg",600557
2015,International Test Match,2015-08-29,Japan,Uruguay,40,0,Prince Chichibu Memorial Stadium,600558
2015,International Test Match,2015-08-29,Ireland,Wales,10,16,Aviva Stadium,600559
2015,International Test Match,2015-08-29,Scotland,Italy,48,7,Scottish Gas Murrayfield,600560
2015,International Test Match,2015-09-02,Canada,Georgia,16,15,"Molesey Road, Hersham, Surrey",600561
2015,International Test Match,2015-09-05,England,Ireland,21,13,Allianz Stadium,600562
2015,International Test Match,2015-09-05,Japan,Georgia,10,13,Kingsholm,600563
2015,International Test Match,2015-09-05,Wales,Italy,23,19,Principality Stadium,600564
2015,International Test Match,2015-09-05,Romania,Tonga,16,21,Stadionul National Arcul de Triumf,600565
2015,International Test Match,2015-09-05,France,Scotland,19,16,Stade de France,600566
2015,International Test Match,2015-09-05,United States of America,Australia,10,47,Soldier Field,600567
2015,International Test Match,2015-09-06,Fiji,Canada,18,47,Twickenham Stoop,600568
2015,Rugby World Cup,2015-09-18,England,Fiji,35,11,Allianz Stadium,181969
2015,Rugby World Cup,2015-09-19,Tonga,Georgia,10,17,Kingsholm,181971
2015,Rugby World Cup,2015-09-19,Ireland,Canada,50,7,Principality Stadium,181973
2015,Rugby World Cup,2015-09-19,South Africa,Japan,32,34,Brighton Community Stadium,181970
2015,Rugby World Cup,2015-09-19,France,Italy,32,10,Allianz Stadium,181972
2015,Rugby World Cup,2015-09-20,United States of America,Samoa,16,25,Brighton Community Stadium,181975
2015,Rugby World Cup,2015-09-20,Wales,Uruguay,54,9,Principality Stadium,181974
2015,Rugby World Cup,2015-09-20,New Zealand,Argentina,26,16,Wembley Stadium,181976
2015,Rugby World Cup,2015-09-23,Scotland,Japan,45,10,Kingsholm,181978
2015,Rugby World Cup,2015-09-23,Australia,Fiji,28,13,Principality Stadium,181977
2015,Rugby World Cup,2015-09-23,France,Romania,38,11,London Stadium,181979
2015,Rugby World Cup,2015-09-24,New Zealand,Namibia,58,14,London Stadium,181980
2015,Rugby World Cup,2015-09-25,Argentina,Georgia,54,9,Kingsholm,181981
2015,Rugby World Cup,2015-09-26,Italy,Canada,23,18,Elland Road,181984
2015,Rugby World Cup,2015-09-26,South Africa,Samoa,46,6,Villa Park,181983
2015,Rugby World Cup,2015-09-26,England,Wales,25,28,Allianz Stadium,181982
2015,Rugby World Cup,2015-09-27,Australia,Uruguay,65,3,Villa Park,181985
2015,Rugby World Cup,2015-09-27,Scotland,United States of America,39,16,Elland Road,181986
2015,Rugby World Cup,2015-09-27,Ireland,Romania,44,10,Wembley Stadium,181987
2015,Rugby World Cup,2015-09-29,Tonga,Namibia,35,21,Sandy Park,181988
2015,Rugby World Cup,2015-10-01,Wales,Fiji,23,13,Principality Stadium,181989
2015,Rugby World Cup,2015-10-01,France,Canada,41,18,stadium:mk,181990
2015,Rugby World Cup,2015-10-02,New Zealand,Georgia,43,10,Principality Stadium,181991
2015,Rugby World Cup,2015-10-03,Samoa,Japan,5,26,stadium:mk,181993
2015,Rugby World Cup,2015-10-03,Scotland,South Africa,16,34,St James' Park,181994
2015,Rugby World Cup,2015-10-03,England,Australia,13,33,Allianz Stadium,181992
2015,Rugby World Cup,2015-10-04,Argentina,Tonga,45,16,Leicester City Stadium,181995
2015,Rugby World Cup,2015-10-04,Ireland,Italy,16,9,London Stadium,181996
2015,Rugby World Cup,2015-10-06,Romania,Canada,17,15,Leicester City Stadium,181998
2015,Rugby World Cup,2015-10-06,Fiji,Uruguay,47,15,stadium:mk,181997
2015,Rugby World Cup,2015-10-07,South Africa,United States of America,64,0,London Stadium,181999
2015,Rugby World Cup,2015-10-07,Georgia,Namibia,17,16,Sandy Park,182000
2015,Rugby World Cup,2015-10-09,New Zealand,Tonga,47,9,St James' Park,182001
2015,Rugby World Cup,2015-10-10,Scotland,Samoa,36,33,St James' Park,182004
2015,Rugby World Cup,2015-10-10,Wales,Australia,6,15,Allianz Stadium,182002
2015,Rugby World Cup,2015-10-10,England,Uruguay,60,3,City of Manchester Stadium,182003
2015,Rugby World Cup,2015-10-11,Argentina,Namibia,64,19,Leicester City Stadium,182006
2015,Rugby World Cup,2015-10-11,Romania,Italy,22,32,Sandy Park,182008
2015,Rugby World Cup,2015-10-11,Ireland,France,24,9,Principality Stadium,182007
2015,Rugby World Cup,2015-10-11,United States of America,Japan,18,28,Kingsholm,182005
2015,Rugby World Cup,2015-10-17,Wales,South Africa,19,23,Allianz Stadium,236307
2015,Rugby World Cup,2015-10-17,New Zealand,France,62,13,Principality Stadium,236305
2015,Rugby World Cup,2015-10-18,Ireland,Argentina,20,43,Principality Stadium,236309
2015,Rugby World Cup,2015-10-18,Scotland,Australia,34,35,Allianz Stadium,236311
2015,Rugby World Cup,2015-10-24,South Africa,New Zealand,18,20,Allianz Stadium,236313
2015,Rugby World Cup,2015-10-25,Australia,Argentina,29,15,Allianz Stadium,236315
2015,Rugby World Cup,2015-10-30,South Africa,Argentina,24,13,London Stadium,236317
2015,Rugby World Cup,2015-10-31,Australia,New Zealand,17,34,Allianz Stadium,236319
2015-16,Six Nations,2016-02-06,France,Italy,23,21,Stade de France,254973
2015-16,Six Nations,2016-02-06,Scotland,England,9,15,Scottish Gas Murrayfield,254975
2015-16,Six Nations,2016-02-07,Ireland,Wales,16,16,Aviva Stadium,254977
2015-16,Six Nations,2016-02-13,France,Ireland,10,9,Stade de France,254979
2015-16,Six Nations,2016-02-13,Wales,Scotland,27,23,Principality Stadium,254981
2015-16,Six Nations,2016-02-14,Italy,England,9,40,Stadio Olimpico,254983
2015-16,Six Nations,2016-02-26,Wales,France,19,10,Principality Stadium,254985
2015-16,Six Nations,2016-02-27,Italy,Scotland,20,36,Stadio Olimpico,254987
2015-16,Six Nations,2016-02-27,England,Ireland,21,10,Allianz Stadium,254989
2015-16,Six Nations,2016-03-12,Ireland,Italy,58,15,Aviva Stadium,254991
2015-16,Six Nations,2016-03-12,England,Wales,25,21,Allianz Stadium,254993
2015-16,Six Nations,2016-03-13,Scotland,France,29,18,Scottish Gas Murrayfield,254995
2015-16,Six Nations,2016-03-19,Wales,Italy,67,14,Principality Stadium,254997
2015-16,Six Nations,2016-03-19,Ireland,Scotland,35,25,Aviva Stadium,254999
2015-16,Six Nations,2016-03-19,France,England,21,31,Stade de France,255001
2016,International Test Match,2016-05-29,England,Wales,27,13,Allianz Stadium,600569
2016,International Test Match,2016-06-11,Samoa,Georgia,19,19,Apia Park,600570
2016,International Test Match,2016-06-11,New Zealand,Wales,39,21,Eden Park,600571
2016,International Test Match,2016-06-11,Australia,England,28,39,Suncorp Stadium,600572
2016,International Test Match,2016-06-11,South Africa,Ireland,20,26,DHL Newlands,600573
2016,International Test Match,2016-06-11,Argentina,Italy,30,24,Estadio Brigadier General Estanislao López,600574
2016,International Test Match,2016-06-11,Canada,Japan,22,26,BC Place,600575
2016,International Test Match,2016-06-18,Georgia,Tonga,23,20,HFC Bank Stadium,600576
2016,International Test Match,2016-06-18,New Zealand,Wales,36,22,Sky Stadium,600577
2016,International Test Match,2016-06-18,Australia,England,7,23,AAMI Park,600578
2016,International Test Match,2016-06-18,Japan,Scotland,13,26,City of Toyota Stadium,600579
2016,International Test Match,2016-06-18,South Africa,Ireland,32,26,Ellis Park,600580
2016,International Test Match,2016-06-18,Canada,Russia,46,21,Calgary Rugby Park,600581
2016,International Test Match,2016-06-19,United States of America,Italy,20,24,"Avaya Stadium, San Jose, California",600582
2016,International Test Match,2016-06-19,Argentina,France,30,19,Estadio Monumental Jose Fierro,600583
2016,International Test Match,2016-06-24,Fiji,Georgia,3,14,HFC Bank Stadium,600584
2016,International Test Match,2016-06-25,New Zealand,Wales,46,6,Forsyth Barr Stadium,600585
2016,International Test Match,2016-06-25,Australia,England,40,44,Allianz Stadium,600586
2016,International Test Match,2016-06-25,Japan,Scotland,16,21,Ajinomoto Stadium,600587
2016,International Test Match,2016-06-25,South Africa,Ireland,19,13,Nelson Mandela Bay Stadium,600588
2016,International Test Match,2016-06-25,Argentina,France,0,27,Estadio Monumental Jose Fierro,600589
2016,International Test Match,2016-06-26,United States of America,Russia,25,0,Bonney Field,600590
2016,International Test Match,2016-06-26,Canada,Italy,18,20,"BMO Stadium, Toronto",600591
2016,Rugby Championship / Tri Nations,2016-08-20,Australia,New Zealand,8,42,Accor Stadium,289312
2016,Rugby Championship / Tri Nations,2016-08-20,South Africa,Argentina,30,23,Mbombela Stadium,281087
2016,Rugby Championship / Tri Nations,2016-08-27,New Zealand,Australia,29,9,Sky Stadium,268575
2016,Rugby Championship / Tri Nations,2016-08-27,Argentina,South Africa,26,24,Estadio Padre Ernesto Martearena,289313
2016,Rugby Championship / Tri Nations,2016-09-10,New Zealand,Argentina,57,22,FMG Stadium Waikato,268577
2016,Rugby Championship / Tri Nations,2016-09-10,Australia,South Africa,23,17,Suncorp Stadium,289314
2016,Rugby Championship / Tri Nations,2016-09-17,New Zealand,South Africa,41,13,Jade Stadium (Lancaster Park),268579
